283.15,68.95,86.5
288.75,68.95,84.58
294.25,68.95,82.98
299.85,68.95,81.37
305.35,68.95,79.93
310.95,68.95,78.49
322.05,68.95,75.77
333.15,68.95,73.2
338.75,68.95,72.08
366.45,68.95,66.64
394.25,68.95,61.83
422.05,68.95,57.83
477.55,68.95,51.1
533.15,68.95,45.81
588.75,68.95,41.49
